recording,session,channel,n_good,r,z,nrmse,lambda,pi,mu,d
sub-002_ses-t2,ses-t2,AF3,54,0.9079629224074011,1.515799952974328,0.42419815878590866,3.322380320752442,0.0,4,18.99137042434568
sub-002_ses-t2,ses-t2,F1,54,0.8176165961486674,1.149585136722668,0.578586023373888,3.158605717042576,0.0,3,16.7762971676845
sub-002_ses-t2,ses-t2,F3,54,0.9373286777941515,1.715580685516117,0.35113195588047724,3.4400482509047046,0.0,4,17.094795802718945
sub-002_ses-t2,ses-t2,F5,54,0.9208253539903736,1.5944270615476914,0.3912750482513577,3.4545673801627976,0.0,5,17.594959612644345
sub-002_ses-t2,ses-t2,F7,54,0.9440801841147288,1.774312712844376,0.33021515182922645,2.500361707258259,0.03635157945502773,3,17.705676358858174
sub-002_ses-t2,ses-t2,FT7,54,0.8096029635058624,1.1258755927069901,0.6676609143248806,1.769096280219449,0.22987882076324834,2,17.9889438872964
sub-002_ses-t2,ses-t2,FC5,54,0.8706125972423009,1.3356051110796732,0.5169233790776389,2.946854074923086,0.0,4,19.399051296422527
sub-002_ses-t2,ses-t2,FC3,54,0.7991912713984352,1.09636984662498,0.6041920599683935,3.0083805619196915,0.0,4,21.041789990512164
sub-002_ses-t2,ses-t2,FC1,54,0.8769970199838992,1.3626099330423564,0.48762656276824917,2.803616636528029,0.0,4,21.041789990512164
sub-002_ses-t2,ses-t2,C1,54,0.8450829654798847,1.2386949053740388,0.5422609974545419,2.5806509945750453,0.0,4,22.021524975074975
sub-002_ses-t2,ses-t2,C3,54,0.8115758522555688,1.1316284277054838,0.5848841119723567,2.7384698860553445,0.0,4,21.08260936546092
sub-002_ses-t2,ses-t2,C5,54,0.7913039633770738,1.0749101408360964,0.6268640926196651,2.3753315649867375,0.001145406317820111,3,20.00606534146191
sub-002_ses-t2,ses-t2,CP5,54,0.7915197010413058,1.0754874931349185,0.6365162774737375,2.498824805640933,0.00729223166395468,3,19.399051296422527
sub-002_ses-t2,ses-t2,CP3,54,0.8517070276507097,1.2623366751638223,0.5257967763227966,2.969055374592834,0.0,4,21.041789990512164
sub-002_ses-t2,ses-t2,CP1,54,0.9249286615067132,1.6221026728578944,0.4174170141078295,2.5598530031929636,0.0,4,21.041789990512164
sub-002_ses-t2,ses-t2,P1,54,0.9486036738325013,1.8176508178967936,0.32201914280800426,2.0892534073091302,0.12784947533470029,2,17.094795802718945
sub-002_ses-t2,ses-t2,P3,54,0.9016122389506224,1.4807704677076996,0.44484071309968426,3.1208009167118993,0.0,4,17.094795802718945
sub-002_ses-t2,ses-t2,P5,54,0.8487279089210172,1.2515864608949034,0.5437501905617239,3.168565744257551,0.0,5,17.594959612644345
sub-002_ses-t2,ses-t2,P7,54,0.8388484539969517,1.2172748063417582,0.5974956025519919,1.9714922854387658,0.20021697203471553,2,17.705676358858174
sub-002_ses-t2,ses-t2,PO7,54,0.9457864203731046,1.7902450399442262,0.3333229509631804,2.475395006633699,0.036063201061391874,4,17.9889438872964
sub-002_ses-t2,ses-t2,PO3,54,0.9777084692183727,2.2427436469621345,0.26047820123543486,2.790333273066956,0.003314650756343036,4,18.99137042434568
sub-002_ses-t2,ses-t2,O1,54,0.9725116277733797,2.1366499302560946,0.23329155093085202,2.4068491498854456,0.0002411672494875196,3,17.988943887277408
sub-002_ses-t2,ses-t2,Iz,54,0.7953724283427495,1.0858880785503042,0.8036458398339461,1.0585433498130954,0.47919932473170146,1,22.999999999978343
sub-002_ses-t2,ses-t2,Oz,54,0.9439449511425309,1.77307022205099,0.41970343530418236,2.2209631728045327,0.005183533240913749,3,17.988943887277408
sub-002_ses-t2,ses-t2,CPz,54,0.7776665370340147,1.0394392543534074,0.631970271782692,2.0622889532079114,0.0031958514230583696,3,22.021524975074975
sub-002_ses-t2,ses-t2,Fpz,54,0.9217593626193238,1.6006036039833171,0.38784238237719565,2.2250693355842275,0.03617508742312794,3,17.988943887277408
sub-002_ses-t2,ses-t2,Fp2,54,0.9635783164046654,1.9936797294481017,0.28322216333682454,2.1463017662306347,0.036289107239737176,3,17.988943887277408
sub-002_ses-t2,ses-t2,AF8,54,0.9287085886456334,1.6489150352895883,0.37323803976044373,1.9469719795119012,0.03669780054233203,3,17.9889438872964
