# OpenNeuro ds003775 v1.2.1, doi:10.18112/openneuro.ds003775.v1.2.1, CC0; git mirror commit cb354b249827d17fa0575b2b42521ba25982c16b
# channel order: Fp1,AF7,AF3,F1,F3,F5,F7,FT7,FC5,FC3,FC1,C1,C3,C5,T7,TP7,CP5,CP3,CP1,P1,P3,P5,P7,P9,PO7,PO3,O1,Iz,Oz,POz,Pz,CPz,Fpz,Fp2,AF8,AF4,AFz,Fz,F2,F4,F6,F8,FT8,FC6,FC4,FC2,FCz,Cz,C2,C4,C6,T8,TP8,CP6,CP4,CP2,P2,P4,P6,P8,P10,PO8,PO4,O2
recording	subject	session	n_bad	bad_channels
sub-097_ses-t1	sub-097	ses-t1	5	Fp1,O1,Iz,F8,P4
sub-097_ses-t2	sub-097	ses-t2	6	F5,F7,F6,F8,FT8,FC6
sub-098_ses-t1	sub-098	ses-t1	10	F3,P9,PO3,O1,Iz,Oz,POz,PO8,PO4,O2
sub-099_ses-t1	sub-099	ses-t1	0	
sub-100_ses-t1	sub-100	ses-t1	13	Fp1,AF7,F7,TP7,Fp2,AF8,F6,F8,FT8,FC6,T8,TP8,P2
sub-101_ses-t1	sub-101	ses-t1	11	AF3,CP5,P7,P9,PO7,FC4,TP8,CP2,P2,P8,P10
sub-101_ses-t2	sub-101	ses-t2	10	Fp1,AF7,F7,C5,AF8,F6,F8,FC6,C6,T8
sub-102_ses-t1	sub-102	ses-t1	11	FC5,P9,Iz,AF4,F4,F6,F8,FC6,FC4,T8,PO4
sub-103_ses-t1	sub-103	ses-t1	5	TP7,P7,PO7,PO3,P8
sub-104_ses-t1	sub-104	ses-t1	14	Fp1,AF7,AF3,F3,F5,F7,P9,Fpz,Fp2,AF8,AF4,AFz,F8,FCz
sub-104_ses-t2	sub-104	ses-t2	20	Fp1,AF7,AF3,F1,F3,F5,F7,FT7,FC5,T7,Fpz,Fp2,AF8,AF4,AFz,Fz,F2,F4,F6,F8
sub-105_ses-t1	sub-105	ses-t1	2	FC3,TP7
sub-105_ses-t2	sub-105	ses-t2	5	P5,P9,TP8,CP4,CP2
sub-106_ses-t1	sub-106	ses-t1	9	Fp1,F1,C5,PO7,PO3,O1,Oz,C4,P8
sub-106_ses-t2	sub-106	ses-t2	10	TP7,CP5,CP3,CP1,P7,P9,PO7,Fp2,C6,CP6
sub-107_ses-t1	sub-107	ses-t1	7	T7,P9,F6,FT8,P8,P10,PO8
sub-108_ses-t1	sub-108	ses-t1	5	T8,TP8,P4,P6,P10
sub-109_ses-t1	sub-109	ses-t1	9	TP7,P9,PO3,O1,Iz,Fp2,AF8,P2,P10
sub-110_ses-t1	sub-110	ses-t1	14	T7,CP5,P5,P9,F6,F8,FT8,TP8,CP6,P2,P4,P10,PO4,O2
sub-110_ses-t2	sub-110	ses-t2	5	P7,P9,PO7,P2,P10
sub-111_ses-t1	sub-111	ses-t1	4	O1,Iz,F4,FC6
